,Unnamed: 0,Winery,Wine,Rating,Num_Reviews,Price,Country,Region,Year,Tipo,Zona,Maridaje
103,129,El Aviador,Tempranillo 2023,3.4,2499,4.4,España,Castilla y León,2023,tinto,Centro (España),"Cordero asado, Queso manchego"
104,130,Bodegas Aragonesas,Coto de Hayas Chardonnay 2023,3.3,25,4.4,España,Campo de Borja,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
105,132,Bodegas Aragonesas,Coto de Hayas Garnacha - Syrah 2023,3.3,1909,4.4,España,Aragón,2023,tinto,Norte (España),"Chuletas de cordero, Chistorra"
106,133,Bodegas Aragonesas,Coto de Hayas Garnacha Rosado 2023,3.5,198,4.4,España,Campo de Borja,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
107,134,Cuatro Rayas,Bitácora Verdejo 2023,3.6,86,4.4,España,Rueda,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
108,135,Celler Batea,Vall Major Rosé 2023,3.6,27,4.42,España,Terra Alta,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
109,136,Pillet,Blanc 2023,2.6,25,4.42,España,Cariñena,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
110,138,Bodegas Faustino,VII Rosado 2021,3.8,459,4.44,España,Rioja,2021,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
111,139,Azabache,Tunante de Azabache Tempranillo 2023,3.6,89,4.45,España,Rioja,2023,tinto,Norte (España),"Chuletas de cordero, Chistorra"
112,140,Bach,Cava Extrísimo Brut Nature N.V.,3.2,2859,4.45,España,Cava,N.V.,espumoso,Norte (España),"Tortilla de patatas, Piquillos rellenos de marisco"
113,142,Condesa de Leganza,Tempranillo 2021,3.6,121,4.46,España,Castilla,2021,tinto,Centro (España),"Cordero asado, Queso manchego"
114,143,Vinos Divertidos,La Tapa Loca Verdejo 2023,3.7,71,4.46,España,Rueda,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
115,144,Condesa de Leganza,Verdejo 2023,3.6,61,4.46,España,Castilla y León,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
116,145,Viña Costeira,Pazo Blanco 2023,3.3,1273,4.46,España,Ribeiro,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
117,146,Finca Los Trenzones,Verdejo 2023,3.4,1193,4.46,España,La Mancha,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
118,147,Canforrales,Nature Syrah - Tempranillo 2022,3.5,370,4.48,España,La Mancha,2022,tinto,Centro (España),"Cordero asado, Queso manchego"
119,148,Cellers Tarroné,Mas Tarroné Blanc 2023,3.3,384,4.49,España,Terra Alta,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
120,151,The Freaky Wines,Verdejo 2023,3.6,743,4.49,España,Castilla,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
121,153,Malamigo,El Rebelde Red Blend 2022,3.7,37,4.49,España,Vino de España,2022,tinto,Centro (España),"Cordero asado, Queso manchego"
122,155,The Freaky Wines,Tempranillo 2023,3.4,2916,4.49,España,Castilla,2023,tinto,Centro (España),"Cordero asado, Queso manchego"
123,157,Murviedro,Colección Tempranillo 2018,3.6,338,4.49,España,Valencia,2018,tinto,Centro (España),"Cordero asado, Queso manchego"
124,158,Leyenda del Páramo,Flor del Páramo Rosado 2020,3.0,64,4.5,España,Tierra de León,2020,rosado,Centro (España),"Ensalada de tomate y ventresca, Pisto manchego"
125,160,Cellers Tarroné,Sisquera Rosado 2023,3.6,34,4.5,España,Terra Alta,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
126,161,Ca N'Estella,Clot Dels Oms Petit Tinto 2022,3.4,32,4.5,España,Penedès,2022,tinto,Norte (España),"Chuletas de cordero, Chistorra"
127,165,Poesia,Garnacha Blanca 2022,3.3,100,4.5,España,Cataluña,2022,blanco,Norte (España),"Mariscos, Merluza a la vasca"
128,166,Bodegas Aragonesas,Solo Syrah Tirio 2022,3.5,1774,4.5,España,Campo de Borja,2022,tinto,Norte (España),"Chuletas de cordero, Chistorra"
129,167,Castell d'Ordal,Sekt Rosado Semi Seco N.V.,3.5,455,4.5,España,Vino de España,N.V.,rosado,Centro (España),"Ensalada de tomate y ventresca, Pisto manchego"
130,168,Ca N'Estella,Clot dels Oms Petit Rosado 2023,3.2,53,4.5,España,Penedès,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
131,169,Cellers Tarroné,Sisquera Tinto 2023,3.3,903,4.5,España,Tarragona,2023,tinto,Norte (España),"Chuletas de cordero, Chistorra"
132,171,Bodegas Yuntero,Tempranillo - Syrah 2022,3.2,289,4.5,España,La Mancha,2022,tinto,Centro (España),"Cordero asado, Queso manchego"
133,174,Leyenda del Páramo,Flor del Páramo Verdejo 2021,3.1,33,4.5,España,Tierra de León,2021,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
134,177,Cellers Tarroné,Sisquera Blanco 2023,3.4,195,4.5,España,Terra Alta,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
135,178,Pampano,Verdejo Semi Dulce 2023,3.6,25,4.5,España,Rueda,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
136,180,Torrelongares,Rosado 2023,3.1,28,4.54,España,Cariñena,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
137,182,Lan,Rioja Blanco 2022,3.5,680,4.54,España,Rioja,2022,blanco,Norte (España),"Mariscos, Merluza a la vasca"
138,183,Bodegas Franco-Españolas,Rioja Bordón Blanco 2022,3.7,54,4.54,España,Rioja,2022,blanco,Norte (España),"Mariscos, Merluza a la vasca"
139,184,Covila,II Tinto 2023,3.1,184,4.55,España,Rioja,2023,tinto,Norte (España),"Chuletas de cordero, Chistorra"
140,185,Castillo Perelada,Emporda Blanc de Blancs 2023,3.5,100,4.55,España,Empordà,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
141,188,Murviedro,Colección Sauvignon Blanc 2017,3.3,167,4.56,España,Valencia,2017,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
142,189,Celler Batea,Vall Major Garnatxa Blanco 2023,3.4,389,4.56,España,Terra Alta,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
143,190,Federico Paternina,Verdejo 2023,3.5,884,4.57,España,Rueda,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
144,191,Bach,Extrísimo Semi Dulce 2023,3.5,5311,4.6,España,Cataluña,2023,dulce,Norte (España),"Queso azul, Tarta de Santiago"
145,192,Séptimo Sentido,Tempranillo 2023,3.5,3873,4.6,España,Castelló,2023,tinto,Centro (España),"Cordero asado, Queso manchego"
